Earth,"Ganibu Street 1B, Valmiera, Valmiera district.",30/10/2025,"1,000","1,000","1,000",,"35,000",35,35.00,-,For commercial properties,,1/1
Earth,"Kaivas Street 9, Riga",23/10/2025,560,2 007,560,,"33,600",60,60.00,-,For commercial properties,,560/2007
Earth,"Mazā Stacijas Street 1A, Riga",21/10/2025,"1,078","1,078","1,078",,"60,000",56,55.66,-,For commercial properties,,1/1
Earth,"Aleksandra Street 2C, Tukums, Tukums district.",20/10/2025,421,421,421,,"4,500",11,10.69,-,For commercial properties,,1/1
Earth,"Lauku Street 20A, Tukums, Tukums district.",20/10/2025,589,589,589,,"4,500",8,7.64,-,For commercial properties,,1/1
Earth,"Bypass 4, Saldus, Saldus county.",17/10/2025,"6,344","12,687","6,344",,"15,000",2,2.36,-,For commercial properties,,1/2
Earth,"Brankstūri, Cenu parish, Jelgava district",15/10/2025,"11,500","11,500","11,500",,"22,931",2,1.99,"19,940",For commercial properties,,1/1
Earth,"Strautu Street 2, Valka, Valkas district.",15/10/2025,"3,479","6,958","3,479",,"11,800",3,3.39,-,For commercial properties,,1/2
Earth,"Muzeju Street 22, Turaida, Krimulda parish, Sigulda county",08/10/2025,"3,341","3,341","3,341",,"39,999",12,11.97,-,For commercial properties,,1/1
Earth,Jurmala,02/10/2025,2 014,2 014,2 014,,"12,733",6,6.32,-,For commercial properties,,1/1
Earth,"18th November Street 130, Daugavpils",26/09/2025,"2,656","2,656","2,656",,"100,000",38,37.65,-,For commercial properties,,1/1
Earth,Daugavpils,26/09/2025,728,728,728,,"15,000",21,20.60,-,For commercial properties,,1/1
Earth,"Demene parish, Augšdaugava district",25/09/2025,"12,000","12,000","12,000",,6 232,1,0.52,5 193,For commercial properties,,1/1
Earth,"Krēsliņu Street 36, Mārupe, Mārupe County.",25/09/2025,"7,725","7,725","7,725",,"345,000",45,44.66,-,For commercial properties,,1/1
Earth,"Talsi, Talsi district.",17/09/2025,792,"1,583",792,,"100,000",126,126.34,-,For commercial properties,,1/2
Earth,Riga,16/09/2025,183,183,183,,8 100,44,44.26,-,For commercial properties,,1/1
Earth,"Cēsu Street 51, Limbaži, Limbaži District.",15/09/2025,"33,450","33,450","33,450",,"9,000",0,0.27,"2,691",For commercial properties,,1/1
